family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,scale,1.5,2065,causal_residual,1.0,0.0,0.9142260268608812,0.016363152419743548,0.15713467271619067,0.8071052287488057
B,scale,1.5,2065,total_flow,0.0,1.0,0.03614257288582565,0.894446606394799,0.15713467271619067,0.027979173177031046
B,scale,1.5,2065,oracle_effect,1.0,0.0,0.9305891792806246,0.0,0.15713467271619067,0.5142233421248636
B,leak,0.0,2550,causal_residual,1.0,0.0,0.917814013238593,0.015205097074897625,0.15628187346533673,0.5555485941374914
B,leak,0.0,2550,total_flow,0.0,1.0,0.03270062160181355,0.9003184887116771,0.15628187346533673,0.027887114202193173
B,leak,0.0,2550,oracle_effect,1.0,0.0,0.9330191103134905,0.0,0.15628187346533673,0.5123724432724127
B,leak,0.1,2560,causal_residual,1.0,0.0,0.91541436619179,0.019224570407199777,0.15445876754272866,0.557383997540891
B,leak,0.1,2560,total_flow,0.0,1.0,0.03253593310797918,0.9021030034910106,0.15445876754272866,0.027946347975984966
B,leak,0.1,2560,oracle_effect,1.0,0.0,0.9346389365989897,0.0,0.15445876754272866,0.5129792481843982
B,leak,0.25,2575,causal_residual,1.0,0.0,0.9139848834305163,0.02245049998854615,0.15503985394796602,0.5632670067136459
B,leak,0.25,2575,total_flow,0.0,1.0,0.03410191347648871,0.9023334699425738,0.15503985394796602,0.028044953492510953
B,leak,0.25,2575,oracle_effect,1.0,0.0,0.9364353834190625,0.0,0.15503985394796602,0.512240664673255
B,leak,0.5,2600,causal_residual,0.99,0.004285714285714286,0.8896762622225473,0.04386134527030924,0.1563827591425619,0.5782525713077717
B,leak,0.5,2600,total_flow,0.0,1.0,0.03638223582919614,0.8971553716636604,0.1563827591425619,0.028006342726217288
B,leak,0.5,2600,oracle_effect,1.0,0.0,0.9335376074928565,0.0,0.1563827591425619,0.5142389546016362
B,leak,0.75,2625,causal_residual,0.6942857142857143,0.10357142857142858,0.6214987196184968,0.31367438238098533,0.15732320543676676,0.5927597322511774
B,leak,0.75,2625,total_flow,0.0,1.0,0.036189247881352506,0.8989838541181296,0.15732320543676676,0.02818576362891971
B,leak,0.75,2625,oracle_effect,1.0,0.0,0.935173101999482,0.0,0.15732320543676676,0.5138056170642864
B,leak,1.0,2650,causal_residual,0.05714285714285714,0.24714285714285714,0.04764009614275407,0.8848749609973593,0.15799046581286336,0.6053073545154658
B,leak,1.0,2650,total_flow,0.0,1.0,0.03396414287053073,0.8985509142695826,0.15799046581286336,0.027950645872158064
B,leak,1.0,2650,oracle_effect,1.0,0.0,0.9325150571401134,0.0,0.15799046581286336,0.5116854087938417
B,scale,0.25,2102,causal_residual,0.0,1.0,0.03819365031761038,0.8925839217239655,0.14898461724308004,0.1850363511467787
B,scale,0.25,2102,total_flow,0.0,1.0,0.035846691632765694,0.8949308804088102,0.14898461724308004,0.028021806082187663
B,scale,0.25,2102,oracle_effect,1.0,0.0,0.9307775720415757,0.0,0.14898461724308004,0.5124205972628748
B,scale,0.5,2105,causal_residual,0.02857142857142857,0.9714285714285714,0.07525220536789896,0.8586746696841403,0.1550026860384727,0.30925921651611704
B,scale,0.5,2105,total_flow,0.0,1.0,0.03165422201150553,0.902272653040534,0.1550026860384727,0.02792060162357099
B,scale,0.5,2105,oracle_effect,1.0,0.0,0.9339268750520393,0.0,0.1550026860384727,0.5134346642133752
B,scale,0.75,2107,causal_residual,0.9335714285714286,0.06642857142857143,0.8698101467567153,0.06356542945274167,0.15850647150029915,0.4324340889003698
B,scale,0.75,2107,total_flow,0.0,1.0,0.0374623277220411,0.8959132484874158,0.15850647150029915,0.027770847185529007
B,scale,0.75,2107,oracle_effect,1.0,0.0,0.9333755762094568,0.0,0.15850647150029915,0.5143269241130731
B,scale,1.0,2110,causal_residual,1.0,0.0,0.919308025543889,0.016350194025752662,0.1550280443802982,0.5573222508427992
B,scale,1.0,2110,total_flow,0.0,1.0,0.03687914706060665,0.8987790725090349,0.1550280443802982,0.02800170432586838
B,scale,1.0,2110,oracle_effect,1.0,0.0,0.9356582195696417,0.0,0.1550280443802982,0.5141229198738994
B,scale,1.25,2112,causal_residual,1.0,0.0,0.9139821837947916,0.017436238310190498,0.159745297104383,0.6804879072198746
B,scale,1.25,2112,total_flow,0.0,1.0,0.0355847457882748,0.8958336763167072,0.159745297104383,0.027974413878820503
B,scale,1.25,2112,oracle_effect,1.0,0.0,0.9314184221049819,0.0,0.159745297104383,0.5131918790150425
B,scale,1.5,2115,causal_residual,1.0,0.0,0.9208377178470093,0.015674724262753095,0.15924881469660837,0.8051966515333199
B,scale,1.5,2115,total_flow,0.0,1.0,0.034313215808405406,0.9021992263013571,0.15924881469660837,0.027807551903866516
B,scale,1.5,2115,oracle_effect,1.0,0.0,0.9365124421097624,0.0,0.15924881469660837,0.5128933517580855
B,leak,0.0,2600,causal_residual,1.0,0.0,0.9180036503032839,0.015533957189572485,0.1563827591425619,0.5570208420938932
B,leak,0.0,2600,total_flow,0.0,1.0,0.03638223582919614,0.8971553716636604,0.1563827591425619,0.028006342726217288
B,leak,0.0,2600,oracle_effect,1.0,0.0,0.9335376074928565,0.0,0.1563827591425619,0.5142389546016362
B,leak,0.1,2610,causal_residual,1.0,0.0,0.9071030378770856,0.019237037453704253,0.15521937394018268,0.5587186637980568
B,leak,0.1,2610,total_flow,0.0,1.0,0.03761536214425492,0.8887247131865349,0.15521937394018268,0.027763497046746518
B,leak,0.1,2610,oracle_effect,1.0,0.0,0.9263400753307898,0.0,0.15521937394018268,0.5138295419477659
